seed,baseline_precision,baseline_recall,baseline_f1,optimized_precision,optimized_recall,optimized_f1,delta_precision,delta_recall,delta_f1
7,0.9486780715396579,0.9770421783235451,0.9626512361914782,0.9759389671361502,0.8878804057661506,0.9298294660329885,0.027260895596492363,-0.08916177255739455,-0.03282177015848964
21,0.9506037321624589,0.9247197010144154,0.9374830852503383,0.9255744255744256,0.9893219434063001,0.9563870967741935,-0.025029306588033262,0.06460224239188472,0.018904011523855235
42,0.9439300411522634,0.9797116924719701,0.9614880796436992,0.9741586538461539,0.8654564869193807,0.9165959852982754,0.030228612693890433,-0.11425520555258939,-0.04489209434542385
77,0.9429444727457973,0.98825413774693,0.9650677789363921,0.9575725026852846,0.9519487453283503,0.9547523427041499,0.014628029939487308,-0.036305392418579774,-0.010315436232242181
123,0.9455012853470437,0.9818473037907101,0.9633315872184389,0.9600665557404326,0.9241857981847303,0.941784548422198,0.014565270393388952,-0.05766150560597971,-0.02154703879624087
