model,threshold,precision,recall,f1,normal_test_err_mean,anomalous_test_err_mean,error_contrast_ratio,parameters,epochs_ran
no_attention,0.0021026803,0.7725933202357563,0.8398291510945008,0.8048094141724226,0.001688207034021616,0.0038270652294158936,2.2669406964257983,5345,200
self_attention,0.0139668,0.9030183077684315,0.9743726641751201,0.9373394966615306,0.011687357909977436,0.1130647137761116,9.674103817731881,9633,200
