bottleneck,normal_test_err_mean,anomalous_test_err_mean,error_contrast_ratio,precision,recall,f1
2,0.40573105,4.515526,11.129357,0.9685124864277959,0.9524826481580352,0.9604306864064603
8,0.22997285,2.0418096,8.878481,0.9741586538461539,0.8654564869193807,0.9165959852982754
32,0.18812788,1.3577442,7.2171345,0.9322890348660939,0.98505072076882,0.9579439252336449
