metric,observed,ci_2.5%,ci_97.5%
delta_precision,0.030228612693890433,0.02269890015911073,0.038386412175864235
delta_recall,-0.11425520555258939,-0.12892790956263894,-0.09963288293082201
delta_f1,-0.04489209434542385,-0.05385167921018916,-0.035930377038395155
