train_fraction,input_hours,GRU,Transformer,Transformer_minus_GRU_MAE
0.25,24,1.9462722539901733,2.6824982166290283,0.736225962638855
0.25,72,1.9029626846313477,3.4043102264404297,1.501347541809082
0.25,168,1.9366799592971802,3.6146981716156006,1.6780182123184204
1.0,24,1.8734506368637085,2.337768316268921,0.4643176794052124
1.0,72,1.87926185131073,3.370835065841675,1.4915732145309448
1.0,168,1.846297264099121,3.6584579944610596,1.8121607303619385
