model,accuracy,macro_f1,trainable_parameters,training_seconds
ViT-B/16 (last2),0.9713340683572216,0.9712613024509942,14206502,182.97651125100003
ResNet-50,0.9691289966923925,0.9691339068025918,23585894,106.58693998800004
