strategy,validation_accuracy,validation_macro_f1,trainable_parameters,training_seconds
head,0.8774834437086093,0.8723984003110337,29222,147.45276878800007
last2,0.9646799116997793,0.9648636174568687,14206502,182.97651125100003
full,0.9271523178807947,0.9289576526556728,85827878,367.191054207
