model,train_size,accuracy,macro_f1,parameters,training_seconds
CNN + self-attention,8000,0.8096666666666666,0.8094301361471496,4039556,4.678443002999984
Text-CNN,8000,0.8093333333333333,0.8091090746954873,3956868,3.0677858770000057
Self-attention,8000,0.80725,0.8058429872066123,4056196,4.847351199999821
