class,tfidf_precision,tfidf_recall,tfidf_f1,distilbert_precision,distilbert_recall,distilbert_f1,delta_f1_distilbert_minus_tfidf
World,0.9039487726787621,0.891578947368421,0.8977212506624271,0.9143763213530656,0.9105263157894737,0.9124472573839663,0.01472600672153912
Sports,0.9337379868487607,0.9715789473684211,0.9522826928037142,0.9824465167306637,0.9426315789473684,0.9621273166800967,0.009844623876382408
Business,0.8549497088406565,0.85,0.8524676695698074,0.9024116657319126,0.8468421052631578,0.8737442302470811,0.021276560677273793
Sci/Tech,0.8704301075268818,0.8521052631578947,0.8611702127659574,0.8506184586108468,0.9410526315789474,0.8935532233883059,0.032383010622348496
