,mean,std
uniform_MAE_overall,1.7828712463378906,0.005265188869088888
selected_MAE_overall,1.7939335107803345,0.010073119774460793
delta_MAE_overall_selected_minus_uniform,0.011062383651733398,0.004863062873482704
uniform_MAE_rapid,1.8179975748062134,0.019280120730400085
selected_MAE_rapid,1.768117904663086,0.02325337380170822
delta_MAE_rapid_selected_minus_uniform,-0.04987974837422371,0.008794032968580723
